Actor,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
אבי קושניר,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
אפרת בן צור,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
גיל פרנק,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
אריאל זילבר,1,0.008695652173913044,0.0,0.008695652173913044,1.1726541474288461e-77
יעל אלמוג,1,0.008695652173913044,0.0,0.008695652173913044,1.1726541474288461e-77
אסתר רדא,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
יחזקאל לזרוב,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
יעקב זדהדניאל,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
שושנה דמארי,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
שייקה אופיר,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
עמוס אריכא,2,0.017391304347826087,0.0,0.017391304347826087,2.4135754832898917e-59
זאב רווח,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359167e-05
חני נחמיאס,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359167e-05
אלי דנקר,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359167e-05
אשר צרפתי,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359167e-05
אלברט אילוז,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359167e-05
שלמה וישינסקי,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359167e-05
עזרא כפרי,14,0.12173913043478261,0.023798627002288332,0.14375000000000002,3.728160461961558e-05
יונה אליאן,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359164e-05
יוסי גרבר,8,0.06956521739130435,0.0,0.09787234042553192,1.8075724355359164e-05
מוני מושונוב,12,0.10434782608695653,0.019221967963386728,0.13529411764705884,0.00013475157134415359
כרמל בתו,3,0.026086956521739132,0.0,0.10697674418604651,2.1337075433076207e-05
