Community_ID,Size,Top_Key_Actors
4,10,"מוני מושונוב, אניה בוקשטיין, שרון סטרימבן, מגי אזרזר, רועי אסף"
8,10,"רונן הרשקוביץ, אביתר לזר, מיכאל וייגל, שלמה סדן, אריאל כהן"
9,9,"אליאו בן זאב, שי חי, אבי גרייניק, גילי שושן, ארקדי דוכין"
6,8,"חיים זנאתי, חיים בוזגלו, סמדר קילצ'ינסקי, עמוס לביא, צופית גרנט"
14,6,"ג'ון בנג'מין היקי, ניב ניסים, ליהי קורנובסקי, מיקי קם, עמרי לוקאס"
5,6,"עזרא כפרי, כרמל בתו, ליילה מלקוס, אייל שכטר, לי את גליק"
12,4,"דובי גל, ניצה שאול, אורי בנאי, מריה אובנוב"
0,3,"אבי קושניר, אפרת בן צור, גיל פרנק"
2,3,"אסתר רדא, יחזקאל לזרוב, יעקב זדהדניאל"
13,3,"יוסי מרשק, שמואל קלדרון, סמנתה אגר"
10,3,"תום אבני, הילה וידור, הילה סעדה"
1,2,"אריאל זילבר, יעל אלמוג"
3,2,"דן שפירא, אלון אבוטבול"
7,2,"אימרי ביטון, ריימונד אמסלם"
11,2,"נעה בירון, נטע שפיגלמן"
15,2,"דניאל ליטמן, עדי גילת"
16,2,"עוז זהבי, והינה ג'יוקנטה"
