Source,Target,Weight,First_CoStar_Year,Movies,Years
אבי קושניר,אפרת בן צור,1,2016,"אווה (סרט, 2016)",2016
אבי קושניר,גיל פרנק,1,2016,"אווה (סרט, 2016)",2016
אפרת בן צור,גיל פרנק,1,2016,"אווה (סרט, 2016)",2016
אריאל זילבר,יעל אלמוג,1,1996,אושר ללא גבול,1996
אסתר רדא,יחזקאל לזרוב,1,2016,אשת השגריר,2016
אסתר רדא,יעקב זדהדניאל,1,2016,אשת השגריר,2016
יחזקאל לזרוב,יעקב זדהדניאל,1,2016,אשת השגריר,2016
שושנה דמארי,שייקה אופיר,1,1956,באין מולדת,1956
שושנה דמארי,עמוס אריכא,1,1956,באין מולדת,1956
שייקה אופיר,עמוס אריכא,1,1956,באין מולדת,1956
זאב רווח,חני נחמיאס,1,1987,בובה (סרט),1987
זאב רווח,אלי דנקר,1,1987,בובה (סרט),1987
זאב רווח,אשר צרפתי,1,1987,בובה (סרט),1987
זאב רווח,אלברט אילוז,1,1987,בובה (סרט),1987
זאב רווח,שלמה וישינסקי,1,1987,בובה (סרט),1987
זאב רווח,עזרא כפרי,1,1987,בובה (סרט),1987
זאב רווח,יונה אליאן,1,1987,בובה (סרט),1987
זאב רווח,יוסי גרבר,1,1987,בובה (סרט),1987
חני נחמיאס,אלי דנקר,1,1987,בובה (סרט),1987
חני נחמיאס,אשר צרפתי,1,1987,בובה (סרט),1987
חני נחמיאס,אלברט אילוז,1,1987,בובה (סרט),1987
חני נחמיאס,שלמה וישינסקי,1,1987,בובה (סרט),1987
חני נחמיאס,עזרא כפרי,1,1987,בובה (סרט),1987
חני נחמיאס,יונה אליאן,1,1987,בובה (סרט),1987
חני נחמיאס,יוסי גרבר,1,1987,בובה (סרט),1987
אלי דנקר,אשר צרפתי,1,1987,בובה (סרט),1987
אלי דנקר,אלברט אילוז,1,1987,בובה (סרט),1987
אלי דנקר,שלמה וישינסקי,1,1987,בובה (סרט),1987
אלי דנקר,עזרא כפרי,1,1987,בובה (סרט),1987
אלי דנקר,יונה אליאן,1,1987,בובה (סרט),1987
אלי דנקר,יוסי גרבר,1,1987,בובה (סרט),1987
אשר צרפתי,אלברט אילוז,1,1987,בובה (סרט),1987
אשר צרפתי,שלמה וישינסקי,1,1987,בובה (סרט),1987
אשר צרפתי,עזרא כפרי,1,1987,בובה (סרט),1987
אשר צרפתי,יונה אליאן,1,1987,בובה (סרט),1987
אשר צרפתי,יוסי גרבר,1,1987,בובה (סרט),1987
אלברט אילוז,שלמה וישינסקי,1,1987,בובה (סרט),1987
אלברט אילוז,עזרא כפרי,1,1987,בובה (סרט),1987
אלברט אילוז,יונה אליאן,1,1987,בובה (סרט),1987
אלברט אילוז,יוסי גרבר,1,1987,בובה (סרט),1987
שלמה וישינסקי,עזרא כפרי,1,1987,בובה (סרט),1987
שלמה וישינסקי,יונה אליאן,1,1987,בובה (סרט),1987
שלמה וישינסקי,יוסי גרבר,1,1987,בובה (סרט),1987
עזרא כפרי,יונה אליאן,1,1987,בובה (סרט),1987
עזרא כפרי,יוסי גרבר,1,1987,בובה (סרט),1987
עזרא כפרי,מוני מושונוב,1,2000,בסמה מוצ'ו (סרט),2000
עזרא כפרי,כרמל בתו,1,2000,בסמה מוצ'ו (סרט),2000
עזרא כפרי,ליילה מלקוס,1,2000,בסמה מוצ'ו (סרט),2000
עזרא כפרי,אייל שכטר,1,1996,לנגד עיניים מערביות,1996
עזרא כפרי,לי את גליק,1,1996,לנגד עיניים מערביות,1996
עזרא כפרי,גדעון שמר,1,1996,לנגד עיניים מערביות,1996
יונה אליאן,יוסי גרבר,1,1987,בובה (סרט),1987
מוני מושונוב,כרמל בתו,1,2000,בסמה מוצ'ו (סרט),2000
מוני מושונוב,ליילה מלקוס,1,2000,בסמה מוצ'ו (סרט),2000
מוני מושונוב,אניה בוקשטיין,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,שרון סטרימבן,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,מגי אזרזר,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,רועי אסף,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,יואב לוי,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,גל פרידמן,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,הלנה ירלובה,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,נטשה מנור,1,2022,כל מה שאני יכולה,2022
מוני מושונוב,לירון לבו,1,2022,כל מה שאני יכולה,2022
כרמל בתו,ליילה מלקוס,1,2000,בסמה מוצ'ו (סרט),2000
חיים זנאתי,הגר בן אשר,1,2007,ג'וליה מיה,2007
חיים זנאתי,חיים בוזגלו,1,2005,דיסטורשן (סרט),2005
חיים זנאתי,סמדר קילצ'ינסקי,1,2005,דיסטורשן (סרט),2005
חיים זנאתי,עמוס לביא,1,2005,דיסטורשן (סרט),2005
חיים זנאתי,צופית גרנט,1,2005,דיסטורשן (סרט),2005
חיים זנאתי,דור צויגנבום,1,2005,דיסטורשן (סרט),2005
חיים זנאתי,אבי גילאור,1,2005,דיסטורשן (סרט),2005
חיים בוזגלו,סמדר קילצ'ינסקי,1,2005,דיסטורשן (סרט),2005
חיים בוזגלו,עמוס לביא,1,2005,דיסטורשן (סרט),2005
חיים בוזגלו,צופית גרנט,1,2005,דיסטורשן (סרט),2005
חיים בוזגלו,דור צויגנבום,1,2005,דיסטורשן (סרט),2005
חיים בוזגלו,אבי גילאור,1,2005,דיסטורשן (סרט),2005
סמדר קילצ'ינסקי,עמוס לביא,1,2005,דיסטורשן (סרט),2005
סמדר קילצ'ינסקי,צופית גרנט,1,2005,דיסטורשן (סרט),2005
סמדר קילצ'ינסקי,דור צויגנבום,1,2005,דיסטורשן (סרט),2005
סמדר קילצ'ינסקי,אבי גילאור,1,2005,דיסטורשן (סרט),2005
עמוס לביא,צופית גרנט,1,2005,דיסטורשן (סרט),2005
עמוס לביא,דור צויגנבום,1,2005,דיסטורשן (סרט),2005
עמוס לביא,אבי גילאור,1,2005,דיסטורשן (סרט),2005
צופית גרנט,דור צויגנבום,1,2005,דיסטורשן (סרט),2005
צופית גרנט,אבי גילאור,1,2005,דיסטורשן (סרט),2005
דור צויגנבום,אבי גילאור,1,2005,דיסטורשן (סרט),2005
אימרי ביטון,ריימונד אמסלם,1,2024,הבית ברחוב פין (סרט),2024
אביתר לזר,מיכאל וייגל,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,שלמה סדן,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,רונן הרשקוביץ,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,אריאל כהן,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,יעקב זדה דניאל,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,יהודה גרובייס,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,יוסי סגל,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,אברהם סלקטר,1,2003,הנקמה היהודית (סדרת סרטים),2003
אביתר לזר,רוברט הניג,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,שלמה סדן,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,רונן הרשקוביץ,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,אריאל כהן,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,יעקב זדה דניאל,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,יהודה גרובייס,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,יוסי סגל,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,אברהם סלקטר,1,2003,הנקמה היהודית (סדרת סרטים),2003
מיכאל וייגל,רוברט הניג,1,2003,הנקמה היהודית (סדרת סרטים),2003
שלמה סדן,רונן הרשקוביץ,1,2003,הנקמה היהודית (סדרת סרטים),2003
שלמה סדן,אריאל כהן,1,2003,הנקמה היהודית (סדרת סרטים),2003
